time,x_master,y_master,z_master,x_slave,y_slave,z_slave,error_x,error_y,error_z
6.93,-6.438887067292094,-7.701282430860839,22.465759371873773,-6.572115894416906,-7.9810468128963965,22.366165926586127,-0.1332288271248121,-0.2797643820355571,-0.09959344528764547
6.94,-6.5727043834580385,-7.985863581803013,22.37807529122495,-6.720721359554893,-8.275500221760797,22.31087150777981,-0.14801697609685416,-0.2896366399577843,-0.06720378344513733
6.95,-6.721349874297659,-8.280196215391912,22.32263127641964,-6.883611700568872,-8.578394802998153,22.28959896398679,-0.16226182627121322,-0.2981985876062403,-0.03303231243284799
6.96,-6.884279140712535,-8.582970801560183,22.301208492268582,-7.060156460359536,-8.888140564120606,22.304103221496494,-0.17587731964700115,-0.30516976256042305,0.0028947292279113412
6.97,-7.06086173471129,-8.892597397048073,22.31556184960964,-7.249618662907308,-9.202826625593815,22.356073845166552,-0.18875692819601753,-0.310229228545742,0.040511995556911984
6.98,-7.250360689984987,-9.207165175718629,22.367380904858305,-7.4511325657611005,-9.520183666265646,22.447085382890176,-0.20077187577611344,-0.3130184905470177,0.07970447803187142
6.99,-7.4519102744677115,-9.524404875020702,22.458240204154677,-7.663680186520957,-9.837551553385673,22.578536307092627,-0.2117699120532457,-0.313146678364971,0.12029610293794946
7.0,-7.664492516902451,-9.841656427086841,22.58953822477795,-7.886067346192059,-10.151854998343309,22.751576084711765,-0.22157482928960803,-0.31019857125646766,0.1620378599338146
7.01,-7.886913250288876,-10.155844615553775,22.76242444530874,-8.116900199810093,-10.45959065003989,22.96702049911082,-0.22998694952121745,-0.3037460344861156,0.20459605380208146
7.02,-8.117778642611395,-10.463466169969559,22.97771466800935,-8.354563482292113,-10.756829541481578,23.225256188008395,-0.23678483968071795,-0.29336337151201874,0.24754151999904295
7.03,-8.355473442799097,-10.76059221331052,23.23579555752345,-8.597201971660958,-11.039239151912497,23.5261364714765,-0.24172852886186114,-0.27864693860197676,0.2903409139530524
7.04,-8.59814244406209,-11.042890324850195,23.536520469953544,-8.842706940779548,-11.302129422841452,23.868871917115815,-0.24456449671745872,-0.2592390979912569,0.33235144716227083
7.05,-8.84367693573584,-11.305670556643287,23.879100019420317,-9.088709600974362,-11.540526739820962,24.251920678143,-0.24503266523852218,-0.23485618317767454,0.37282065872268433
7.06,-9.0897081470069,-11.543959415382067,24.26199241781547,-9.332583694971863,-11.74927902622522,24.67288534087952,-0.24287554796496202,-0.2053196108431532,0.41089292306405056
7.07,-9.333609839936631,-11.75260495576384,24.68280032419077,-9.571459422548147,-11.923193571589433,25.128424660256556,-0.23784958261151523,-0.1705886158255936,0.4456243360657872
7.08,-9.572512235175044,-11.92641460782466,25.138182582322024,-9.802250725856672,-12.057206965615412,25.614189904187448,-0.229738490681628,-0.13079235779075304,0.47600732186542416
7.09,-9.803329297320788,-12.060325109247792,25.62379056718974,-10.021697570664417,-12.14658354757981,26.124796269272835,-0.21836827334362852,-0.08625843833201863,0.5010057020830949
7.1,-10.022801016148598,-12.149600952311147,26.134239602695686,-10.226424195267937,-12.187135253764344,26.653839641903236,-0.20362317911933836,-0.03753430145319747,0.5196000392075497
7.11,-10.227551655467215,-12.190054228060454,26.66312572449931,-10.413013346069311,-12.175451951901731,27.19396755588677,-0.1854616906020965,0.01460227615872256,0.530841831387459
7.12,-10.414163988580771,-12.178274956724751,27.203096638892045,-10.578095300773384,-12.109127751170996,27.737010334232476,-0.16393131219261292,0.06914720555375453,0.5339136953404306
7.13,-10.579268321310497,-12.111857393000166,27.745982865114225,-10.71844906823096,-11.986965957512037,28.27417407424906,-0.1391807469204629,0.12489143548812898,0.5281912091348353
7.14,-10.71964369160029,-11.989604976142965,28.28299072005134,-10.831111671928657,-11.809143947305618,28.79629157202877,-0.11146798032836713,0.18046102883734783,0.51330085197743
7.15,-10.83232715270996,-11.811695198168826,28.804953241183842,-10.913490042785225,-11.5773198298439,29.294121007293093,-0.08116289007526589,0.23437536832492611,0.48916776610925083
7.16,-10.914725665663877,-11.579786260904616,29.302628868627075,-10.963468966064347,-11.29466571913114,29.758676013832513,-0.0487433004004707,0.285120541773475,0.45604714520543865
7.17,-10.964724045777587,-11.297050342801851,29.767031511436826,-10.979507945793854,-10.965817747223586,30.18156560482802,-0.014783900016267282,0.3312325955782658,0.4145340933911932
7.18,-10.980781826669139,-10.968123608105904,30.189770467517295,-10.960719928284147,-10.59674019911659,30.555319265242463,0.020061898384991395,0.3713834089893133,0.36554879772516813
7.19,-10.96201198336763,-10.598970338748344,30.563375509487035,-10.906925647465371,-10.194509480281354,30.87367211245179,0.0550863359022582,0.4044608584669902,0.3102966029647547
7.2,-10.90823527725957,-10.19666690035482,30.88158203795732,-10.818678896665315,-9.767031879367073,31.1317876993886,0.08955638059425475,0.42963502098774775,0.25020566143128065
7.21,-10.820005527515436,-9.76911950506596,31.139553876878914,-10.697260156785845,-9.32271600125687,31.326401596629015,0.12274537072959113,0.44640350380909055,0.1868477197501015
7.22,-10.698603238971959,-9.324736646405976,31.334026847838302,-10.544638481466977,-8.870125227000656,31.4558766092332,0.15396475750498162,0.45461141940531924,0.12184976139489834
7.23,-10.545997487072686,-8.87208156262291,31.46336397958652,-10.363404054357805,-8.417636921429542,31.520169221992212,0.1825934327148815,0.45444464119336736,0.05680524240569085
7.24,-10.364778474993983,-8.4195314490703,31.527521946900357,-10.156676080277188,-7.973133226463925,31.520715311729585,0.2081023947167946,0.4463982226063754,-0.0068066351707720685
7.25,-10.158065424741435,-7.9749682572995155,31.52793677780004,-9.927992384399603,-7.54374358806419,31.46025010883643,0.23007304034183207,0.4312246692353252,-0.06768666896360997
7.26,-9.929396176348416,-7.545521228402,31.46734381157084,-9.681188095525581,-7.135652555729602,31.34258196606294,0.24820808082283463,0.4098686726723981,-0.12476184550789782
7.27,-9.682605871227901,-7.1373746990774585,31.349551465751727,-9.420271019344503,-6.753978986215002,31.17234131884183,0.26233485188339856,0.38339571286245633,-0.17721014690989634
7.28,-9.4217023255735,-6.755647311693654,31.1791901963744,-9.149300817527644,-6.40272568615715,30.95472541683041,0.2724015080458564,0.35292162553650375,-0.22446477954398958
7.29,-9.15074520963383,-6.40434166268808,30.961457231025634,-8.872278041909214,-6.084792630346843,30.695256493382487,0.2784671677246173,0.31954903234123666,-0.2662007376431461
7.3,-8.873735082103769,-6.086357525792945,30.701874741232633,-8.593047628208247,-5.802042738018263,30.39956677691481,0.2806874538955224,0.2843147877746821,-0.3023079643178228
7.31,-8.594516884071927,-5.803557632297214,30.40607485785729,-8.315219843815393,-5.555406951362848,30.07321894652171,0.2792970402565338,0.24815068093436654,-0.33285591133558157
7.32,-8.31670088703651,-5.55687275248981,30.07962013153975,-8.042110102299219,-5.345014893039759,29.721566003574424,0.27459078473729015,0.21185785945005087,-0.35805412796532465
