time,x_master,y_master,z_master,dx_master,dy_master,dz_master,x_slave,y_slave,z_slave,error_x,error_y,error_z
0.47,4.699044660278055,-8.576058623457937,35.937410955276405,-132.75103283735993,-28.722189942366192,-136.13237836152865,-134.44537395445215,-30.363461144980004,-100.34085363645285,-139.1444186147302,-21.78740252152207,-136.27826459172925
0.48,3.424450506272205,-8.78553253463191,34.64452562348702,-122.09983040904115,-13.968316600656854,-122.47102299872321,-123.48182753658426,-15.39611587431768,-91.80561700679509,-126.90627804285647,-6.610583339685769,-126.4501426302821
0.49,2.2576156543143906,-8.869756972587481,33.48624344018923,-111.27372626901872,-3.5160721013633545,-109.32115136511565,-112.39767046563496,-4.760647531558496,-83.11906143744953,-114.65528611994935,4.109109441028985,-116.60530487763876
0.5,1.1982727805821802,-8.867197339240128,32.454739836954765,-100.65470119822308,3.529203848042134,-97.17129411020822,-101.56827640131185,2.4379599985071385,-74.7879425563187,-102.76654918189404,11.305157337747268,-107.24268239327347
0.51,0.24293531234225435,-8.80791195512178,31.538726550475634,-90.50847267464034,7.9482303152881535,-86.24302364316894,-91.25228582625252,6.982694289207486,-67.08548125794553,-91.49522113859477,15.790606244329265,-98.62420780842116
0.52,-0.6140557296016166,-8.714814087459297,30.725638315750615,-81.0075835785768,10.388507912067663,-76.58365398585104,-81.61553094891902,9.524310588536046,-60.12562544945758,-81.0014752193174,18.239124675995342,-90.85126376520819
0.53,-1.3797094878630192,-8.604996527086573,30.003009604632926,-72.25287039223554,11.368567882879375,-68.13563026090479,-72.75289476543053,10.584945297048677,-53.92095915470295,-71.3731852775675,19.18994182413525,-83.92396875933588
0.54,-2.061763047069276,-8.490949569511443,29.35926502323626,-64.29186522442167,11.293431965593728,-60.785047338349216,-64.7068326734118,10.573176375579445,-48.42474019577667,-62.64506962634252,19.064125945090886,-77.78400521901293
0.55,-2.6682260204615855,-8.38160122139425,28.78411106724257,-57.133752009326656,10.47378677394278,-54.3936230405901,-57.48230115743355,9.802972045024642,-43.55968604575327,-54.81407513697196,18.184573266418894,-72.34379711299584
0.56,-3.2070581296183844,-8.283165086816739,28.26867228261637,-50.76106957198355,9.144812714984702,-48.81853415633019,-51.058365625067786,8.512412432811717,-39.23663423791773,-47.851307495449404,16.795577519628456,-67.5053065205341
0.57,-3.6859493594618256,-8.19981012934185,27.805473849336714,-45.13860769880025,7.482796588905937,-43.92384537094171,-45.39697962277761,6.880270117133214,-35.365930757739115,-41.711030263315784,15.080080246475063,-63.17140460707583
